section,english,shipped,final,source,confidence,future_review,flags
Main weather labels,Severe weather,Imozulu embi,Imozulu embi kakhulu,A,HIGH,False,
Main weather labels,Cold but clear,"Kubanda, kucwebile","Kubanda, kodwa kucacile",A,HIGH,False,commentary-stripped
Main weather labels,Low visibility,Ukubonakala okuphantsi,Ukungabonakali kakuhle,A,HIGH,False,
Main weather labels,Overcast,Linamafu,Linamafu ngokupheleleyo,A,HIGH,False,
Main weather labels,Clear night,Ubusuku obuhle,Ubusuku obucacileyo,A,MED,False,commentary-stripped
Headlines,Cloudy vibes.,Linamafu.,Kunamafu,A,HIGH,False,
Headlines,Partly cloudy.,Linamafu kancinci.,Kunamafu kancinci.,A,HIGH,False,
Headlines,Wind's up.,Umoya uvuthuza.,Umoya uphezulu,B,LOW,True,possible typos (unattested): ['uphezulu']
Headlines,Foggy out there.,Linenkungula.,Kukho inkungu.,A,MED,False,
Headlines,Clear skies.,Isibhakabhaka sihlanzekile.,Isibhakabhaka sicacile,A,HIGH,False,
Day status tags,Cold,Kubanda,Kuyabanda,A,MED,False,commentary-stripped
Weather words&labels,Feels like,Kuziva ngathi,Ingathi,B,HIGH,False,
Weather words&labels,gusts,ukuya kuthi ga kwi,ukuqhwithela komoya / izivuthuvuthu zomoya,A,HIGH,False,
Part 2 — The witty one-liners,"Bloemfontein at 6am: jersey, gown, scarf, takkies, and a brave face.","EBloemfontein nge-6 kusasa: i-jersey, i-gown, i-scarf, ii-takkies, nobuso obunesibindi.",Ngo - 6,B,HIGH,False,
Part 2 — The witty one-liners,The Free State just remembered it has a winter setting.,I-Free State isanda kukhumbula ukuba ine-winter setting.,IFree State isand’ ukukhumbula ukuba nayo inemowudi yasebusika,A,HIGH,False,
Part 2 — The witty one-liners,The dog is still keen. The dog is always keen. Respect.,Inja isekeen. Inja ihlala i-keen. Respect.,Inja inomnqweno. Inja isoloko inomnqweno. Hlonipha.,B,LOW,True,"possible typos (unattested): ['isoloko', 'hlonipha']"
Part 2 — The witty one-liners,Welkom-cold today. The kind that goes through three jerseys like they aren't there.,Yi-Welkom-cold namhlanje. La makhaza adlula kwii-jersey ezintathu ngathi azikho.,iWelkom iyabanda namhlanje. Okwakubanda kuphumela kwii-jersey ezintathu ingathi azikho.,B,MED,True,"B typos: ['iwelkom', 'okwakubanda', 'kuphumela']; commentary-stripped"
Part 2 — The witty one-liners,The geyser tripped overnight. Of course it did.,"I-geyser i-tripile ebusuku. Ewe, vele.","Igeyser icimile ebusuku. Ewe, bekulindelekile",A,HIGH,False,
Part 2 — The witty one-liners,Frost on the lawn. Frost on the bakkie. Frost in the pet bowl.,Iqabaka engceni. Iqabaka kwi-bakkie. Iqabaka kwi-pet bowl.,Iqabaka engceni. Iqabaka kwi-bakkie. Iqabaka nakwisitya samanzi sesilwanyana.,A,HIGH,False,
Part 2 — The witty one-liners,The lapa cushions are crispy.,Ii-cushions ze-lapa zi-crispy.,Imiqamelo ye-Lapa ii-crispy.,B,MED,True,"B typos: ['imiqamelo', 'ye-lapa', 'ii-crispy']"
Part 2 — The witty one-liners,Sun's out. Don't be fooled. Nature is lying.,Ilanga liphumile. Ungaxokiswa. Indalo iyaxoka.,Ilanga liphumile. Musa ukukhohliswa. Indalo iyakuxoka.,A,HIGH,False,
Part 2 — The witty one-liners,"Lekker koud, but the rugby fields are about to look perfect.","Lekker koud, kodwa amabala e-rugby sele eza kujongeka perfect.","Kubanda kamnandi, kodwa amabala ombhoxo sele ezakubamahle.",B,LOW,True,"possible typos (unattested): ['kamnandi', 'ombhoxo', 'ezakubamahle']"
Part 2 — The witty one-liners,"Boiling-the-kettle-twice weather: once for the coffee, once for the hands.","Yi-boiling-the-kettle-twice weather: kube kanye ye-coffee, kube kanye yezandla.","Yimozulu yokubilisa i-ketile kabini. Kube kanye eye-kofu, kubekanye eye-zandla",B,LOW,True,"possible typos (unattested): ['yokubilisa', 'i-ketile', 'eye-kofu', 'kubekanye', 'eye-zandla']"
Part 2 — The witty one-liners,"Welkom, Sasolburg, Kroonstad: the koue belt is doing its koue thing.","EWelkom, eSasolburg, eKroonstad: i-koue belt yenza i-koue thing yayo.","eWelkom, Sasolburg, Koroonstad: ibhanti lengqele lenza izinto zengqele zayo.",B,LOW,True,"possible typos (unattested): ['sasolburg', 'koroonstad', 'ibhanti', 'lengqele', 'lenza', 'zengqele', 'zayo']"
Part 2 — The witty one-liners,Layers off by 11. Layers on by 4. Highveld classic.,Ii-layers off ngo-11. Ii-layers on ngo-4. Highveld classic.,Ii-layers ziyakhutshwa ngo-11. Ziphinde zifakwe ngo-4. Highveld classic.,A,HIGH,False,
Part 2 — The witty one-liners,The koppies look like a postcard. Your feet feel like ice blocks.,Ii-koppies zijongeka njenge-postcard. Iinyawo zakho zivakala ngathi zi-ice blocks.,Ii-koppies zijongeka njengeposikhadi. Iinyawo zakho zivakala njengeebhloko zomkhenkce,A,HIGH,False,
Part 2 — The witty one-liners,The kind of cold that has you Googling 'underfloor heating Bloemfontein'.,Uhlobo lwamakhaza olukwenza u-Google 'underfloor heating Bloemfontein'.,Uhlobo lwengqeleolukwenza u-Google underfloor heating Bloenfontein,B,LOW,True,"possible typos (unattested): ['lwengqeleolukwenza', 'underfloor', 'bloenfontein']"
Part 2 — The witty one-liners,"Three hadedas, two crows, one shivering human at the bird feeder.","Ii-hadedas ezintathu, ama-crows amabini, umntu omnye ongcangcazelayo e-bird feeder.","ii-Hadedas ezintathu, ii-crows ezimbini, nomntu omnye ongcangcazelayo e-bird feeder.",B,LOW,True,B unattested: ['ii-crows']; commentary-stripped
Part 2 — The witty one-liners,The Toyota started first try. You owe it a wash.,I-Toyota i-startile nge-try yokuqala. Uyikweleta i-wash.,iToyota idume ngemizamo yokuqala. Uyityala i-wash.,B,LOW,True,"possible typos (unattested): ['itoyota', 'idume', 'ngemizamo', 'uyityala']"
Storms / severe weather,"The dog's under the bed. Smart move, honestly.","Inja ingaphantsi kombhede. Icebo elihle, ngenene.","Inja iphantsi kwebhedi. Icebo elihle, inene.",B,LOW,True,"possible typos (unattested): ['iphantsi', 'kwebhedi', 'inene']"
Storms / severe weather,Even the hadedas are quiet.,Iintaka zithe cwaka.,Nditsho neeNtaka zithe cwaka.,B,LOW,True,possible typos (unattested): ['neentaka']
Storms / severe weather,Weather so dramatic it needs a Carte Blanche segment.,Imozulu edramatiki kakhulu ifuna i-Carte Blanche.,Imozulu ine drama ifuna uCarte Blanche.,B,LOW,True,"B unattested: ['drama', 'ucarte']"
Storms / severe weather,This is why Noah built a boat.,Yiyo le nto uNowa wakha umkhombe.,Lo ngunobangela wokuba uNoah okhe uMkhombe.,B,LOW,True,"possible typos (unattested): ['ngunobangela', 'wokuba', 'unoah', 'okhe']"
Storms / severe weather,"The braai is cancelled. Yes, really.","Ukugrila kurhoxisiwe. Ewe, nyhani.",uBraai irhoxisiwe. Ewe nyhani.,B,MED,False,normalized 'irboxisiwe'->'irhoxisiwe' ('rb' impossible in Xhosa orthography; stem -rhoxisiwe attested (shipped 'kurhoxisiwe'))
Storms / severe weather,Somewhere a roof is someone's new kite.,Kwezinye iindawo uphahla lungumntla omtsha.,Kwezinye iindawo uphahla luguquke lwaba yikhayithi.,A,HIGH,False,
Storms / severe weather,Respect the thunder. It's earned it.,Hlonela iindudumo. Zikufanele.,"Yihloniphe induduma, iyakufanele""",A,HIGH,False,
Storms / severe weather,Nature's having a word. Best to listen.,Indalo ifuna ukuthetha. Kulungile ukuphulaphula.,"Indalo iyathetha, kungcono ukuphulaphula",A,HIGH,False,
Storms / severe weather,Wait it out indoors. The mountains aren't going anywhere.,Yima phakathi. Iintaba aziyi ndawo.,Yilinde ngaphakathi le meko. Iintaba azisayi ndawo,A,HIGH,False,
Hail,Tiny ice bombs falling. Indoors is the only plan.,Iibhombu ezincinci zomkhenkce ziyawa. Ngaphakathi kuphela.,iiBhombu ezincinci zomkhenkce ziyawa. Hlala ngaphakathi qha.,B,LOW,True,
Rain,The clouds are having a moment.,Amafu anethuba lawo.,Amafu ayazibonakalisa namhlanje.,A,HIGH,False,
