english,fill_final,source,confidence,rationale
"Sun, hide-and-seek champion of the day.","Ilanga lidlala undize, lizenza iintshatsheli zosuku.",B,LOW,default active speaker
Sky can't make up its mind.,Isibhakabhaka asikwazi ukwenza isigqibo,A,MED,only A
Half-committed clouds.,Amafu azimisele kancinci kuphela,A,MED,B unattested ['angaqinisekanga']
"Sky's doing the most, but only a little.",Ilanga limane liphuma kancinci,B,LOW,default active speaker
"Cloud cover, low effort.","Amafu akhona, kodwa awazami kakhulu.",A,LOW,only A
Sun's playing peek-a-boo.,Ilanga lidlala umcacamezelo.,A,LOW,only A
"Clouds today, vibes optional.","Amafu namhlanje, mhlawumbi neentshukumo.",B,LOW,default active speaker
"Sky's drafting, not committing.","Isibhakabhaka siyayila, asizibopheleli.",B,LOW,default active speaker
Patchy ambitions.,Amabhongo angacacanga,B,LOW,only B
Halfway to a Highveld thunderstorm. Or not.,Indlela eya kwii ndudumo. Mhlawumbi ayikho,B,LOW,only B
"Clouds, but make it casual.","Amafu, kodwa akaqinisekanga",B,LOW,only B
Sun on a smoke break.,Ilanga lisayotshaya,B,LOW,only B
Almost a braai day.,Iphantse yalusuku lwe braai,B,LOW,default active speaker
Washing's still safe. Probably.,Ukuhlamba impahla kusakhuselekile. Mhlawumbi,B,LOW,default active speaker
"Sunscreen, but keep a hoodie close.","Faka i-sunscreen, kodwa gcina ihoodie kufutshane.",A,LOW,"voice: keeps ['sunscreen', 'hoodie']"
Indecisive sky energy.,Isibhakabhaka esingaqinisekanga,B,LOW,default active speaker
Some clouds. Some sun. South African summer admin.,Amafu amancinci. Ilanga elincinci. iAdmin yehlobo lwaseMzantsi Africa,B,LOW,voice: keeps ['admin']
The sky's doing freelance today.,Isibhakabhaka siyadlala namhlanje.,B,LOW,only B
Cloud cover with main-character syndrome.,Kuthe gqabagqaba ngamafu.,B,LOW,only B
"Some cloud, some sun. The ratio's anyone's guess.",Kukho amafu nelanga. Umlinganiselo awuqinisekanga,A,LOW,only A
